number,type,gu,area,room,lat_y,long_x
1165,도시형,서대문구,350.62,24,37.5793293,126.9280044
1166,도시형,서대문구,393.08,28,37.582635,126.9211963
1167,도시형,서대문구,293.82,15,37.5767681,126.9268171
1168,도시형,서대문구,355,20,37.5647638,126.907153
1169,도시형,서대문구,220.74,14,37.5767681,126.9268171
1170,도시형,서대문구,382.2,14,37.5841049,126.9281067
1171,도시형,서대문구,264.74,14,37.5793293,126.9280044
1172,도시형,서대문구,403.12,16,37.582635,126.9211963
1173,도시형,서대문구,419.49,14,37.582635,126.9211963
1174,도시형,서대문구,469.41,14,37.582635,126.9211963
1175,도시형,서대문구,326.03,19,37.5806848,126.9181246
1176,도시형,서대문구,397.68,14,37.5813843,126.9193206
1177,도시형,서대문구,293.74,12,37.5793293,126.9280044
1178,도시형,서대문구,493.12,24,37.5991116,126.9514923
1179,도시형,서대문구,384.65,12,37.5780811,126.9271809
1180,도시형,서대문구,312.09,14,37.5767681,126.9268171
1181,도시형,서대문구,379.94,16,37.5780811,126.9271809
1182,도시형,서대문구,314.1,12,37.5780811,126.9271809
1183,도시형,서대문구,260.51,14,37.5791769,126.9136241
1184,도시형,서대문구,247.03,13,37.5825334,126.9178699
1185,도시형,서대문구,456.58,16,37.5803014,126.9250688
1186,도시형,서대문구,435.16,15,37.5803014,126.9250688
1187,도시형,서대문구,363.76,14,37.5829214,126.9211997
1188,도시형,서대문구,306.12,17,37.582288,126.9144592
1189,도시형,서대문구,378.14,13,37.5705757,126.9305063
1190,도시형,서대문구,494.84,18,37.5822714,126.9155088
1191,도시형,성동구,389.62,11,37.5604542,127.0626275
1192,도시형,성동구,489.59,15,37.5604542,127.0626275
1193,도시형,성북구,267.09,17,37.611564,127.0143668
1194,도시형,성북구,401.55,23,37.6097617,127.0057041
1195,도시형,성북구,271.37,19,37.6093717,127.0147942
1196,도시형,성북구,359.79,24,37.611564,127.0143668
1197,도시형,성북구,316.55,20,37.6093717,127.0147942
1198,도시형,성북구,257.41,17,37.6101068,127.0145276
1199,도시형,성북구,323.89,22,37.609128,127.0108888
1200,도시형,성북구,386.85,15,37.6101068,127.0145276
1201,도시형,성북구,221.9,12,37.6067981,127.0088113
1202,도시형,성북구,367.61,14,37.612952,127.0085262
1203,도시형,성북구,338.89,12,37.5986183,127.0038477
1204,도시형,성북구,382.32,16,37.6063744,127.0142163
1205,도시형,성북구,377.57,16,37.6099806,127.0103897
1206,도시형,성북구,482,19,37.6121592,127.0097421
1207,도시형,성북구,427.22,14,37.5989781,127.0285287
1208,도시형,송파구,488.69,17,37.504066,127.1352811
1209,도시형,송파구,339.17,10,37.4931795,127.1285924
1210,도시형,송파구,564.83,15,37.5057131,127.1303629
1211,도시형,송파구,349.92,12,37.5103443,127.1171964
1212,도시형,송파구,419.63,13,37.4931824,127.1256442
1213,도시형,송파구,388.44,12,37.508878,127.1131057
1214,도시형,양천구,494.99,13,37.5282163,126.8372472
1215,도시형,양천구,404.74,13,37.5259606,126.8556866
1216,도시형,양천구,204.07,10,37.5467096,126.8645668
1217,도시형,양천구,256.16,8,37.5457937,126.8717432
1218,도시형,양천구,441.54,14,37.5224188,126.8554497
1219,도시형,양천구,449.68,16,37.5257497,126.8508336
1220,도시형,양천구,331.92,12,37.5257497,126.8508336
1221,도시형,양천구,560.75,23,37.5266057,126.8513537
1222,도시형,영등포구,283.79,17,37.4911794,126.9045153
1223,도시형,영등포구,559.63,20,37.5131618,126.9185244
1224,도시형,영등포구,412.12,14,37.5098069,126.9130392
1225,도시형,영등포구,480.96,19,37.5098069,126.9130392
1226,도시형,영등포구,380.63,12,37.5065972,126.9062648
1227,도시형,은평구,340.49,18,37.60075,126.9156606
1228,도시형,은평구,174.14,11,37.6043692,126.9183695
1229,도시형,은평구,278.19,12,37.5923374,126.916276
1230,도시형,은평구,485.7,15,37.6238452,126.9229663
1231,도시형,은평구,247.35,11,37.60827775,126.9084048
1232,도시형,은평구,503,16,37.6004484,126.9110774
1233,도시형,중랑구,500.5,29,37.5895182,127.1005141
1234,도시형,중랑구,469.57,14,37.5909039,127.1004988
1235,도시형,중랑구,307.76,8,37.5899777,127.0771629
1236,도시형,중랑구,378.12,12,37.5922105,127.0947142
1237,도시형,중랑구,442.44,13,37.6167081,127.0815654
1238,도시형,중랑구,406.16,16,37.597878,127.0845379
1239,도시형,중랑구,516.1,14,37.5909039,127.1004988
1240,도시형,중랑구,783.54,25,37.5984528,127.0818102
1241,도시형,중랑구,416.09,12,37.6118019,127.0751973
1242,도시형,중랑구,697.6,24,37.6072714,127.0797347
1243,도시형,중랑구,415.76,15,37.5848152,127.078261
1244,도시형,강동구,393.76,14,37.53407,127.1237455
1245,도시형,동대문구,450.85,14,37.5637453,127.0631517
1246,도시형,동대문구,545.01,17,37.5692259,127.0657237
1247,도시형,광진구,897.46,29,37.5298151,127.0801773
